variable_name,role,data_type,unit,dataset_group,tx_gain_percent,tx_gain_db,distance_cm,description,allowed_values_or_range,feature_or_target,use_in_model_development,use_in_external_testing
ID,sample_identifier,integer,unitless,metadata,,,,Unique identifier for each repeated experimental sample.,1 to 750,metadata,no,no
Gain100_Distance10,receiver_measurement,numeric,mW,A,100,31,10,Receiver-side RSSI/power readout from HyperTerminal for USRP transmitter gain 100 percent and transmitter-receiver distance 10 cm.,Non-negative real number,feature,yes,no
Gain100_Distance15,receiver_measurement,numeric,mW,A,100,31,15,Receiver-side RSSI/power readout from HyperTerminal for USRP transmitter gain 100 percent and transmitter-receiver distance 15 cm.,Non-negative real number,feature,yes,no
Gain100_Distance20,receiver_measurement,numeric,mW,A,100,31,20,Receiver-side RSSI/power readout from HyperTerminal for USRP transmitter gain 100 percent and transmitter-receiver distance 20 cm.,Non-negative real number,feature,yes,no
Gain75_Distance10,receiver_measurement,numeric,mW,A,75,23.25,10,Receiver-side RSSI/power readout from HyperTerminal for USRP transmitter gain 75 percent and transmitter-receiver distance 10 cm.,Non-negative real number,feature,yes,no
Gain75_Distance15,receiver_measurement,numeric,mW,A,75,23.25,15,Receiver-side RSSI/power readout from HyperTerminal for USRP transmitter gain 75 percent and transmitter-receiver distance 15 cm.,Non-negative real number,feature,yes,no
Gain75_Distance20,receiver_measurement,numeric,mW,A,75,23.25,20,Receiver-side RSSI/power readout from HyperTerminal for USRP transmitter gain 75 percent and transmitter-receiver distance 20 cm.,Non-negative real number,feature,yes,no
Gain90_Distance25,receiver_measurement,numeric,mW,B,90,27.9,25,Receiver-side RSSI/power readout from HyperTerminal for USRP transmitter gain 90 percent and transmitter-receiver distance 25 cm.,Non-negative real number,feature,no,yes
Gain90_Distance30,receiver_measurement,numeric,mW,B,90,27.9,30,Receiver-side RSSI/power readout from HyperTerminal for USRP transmitter gain 90 percent and transmitter-receiver distance 30 cm.,Non-negative real number,feature,no,yes
Gain90_Distance35,receiver_measurement,numeric,mW,B,90,27.9,35,Receiver-side RSSI/power readout from HyperTerminal for USRP transmitter gain 90 percent and transmitter-receiver distance 35 cm.,Non-negative real number,feature,no,yes
Gain65_Distance25,receiver_measurement,numeric,mW,B,65,20.15,25,Receiver-side RSSI/power readout from HyperTerminal for USRP transmitter gain 65 percent and transmitter-receiver distance 25 cm.,Non-negative real number,feature,no,yes
Gain65_Distance30,receiver_measurement,numeric,mW,B,65,20.15,30,Receiver-side RSSI/power readout from HyperTerminal for USRP transmitter gain 65 percent and transmitter-receiver distance 30 cm.,Non-negative real number,feature,no,yes
Gain65_Distance35,receiver_measurement,numeric,mW,B,65,20.15,35,Receiver-side RSSI/power readout from HyperTerminal for USRP transmitter gain 65 percent and transmitter-receiver distance 35 cm.,Non-negative real number,feature,no,yes
Indicator,class_label,integer,unitless,target,,,,"Target class label indicating the transmitted multisine waveform tone count. Mapping: 0=N2, 1=N4, 2=N8, 3=N16, 4=N32.","0,1,2,3,4",target,label_only,label_only
