,count,mean,std,min,25%,50%,75%,max,se,ci95_half_width,cv
Gain100_Distance10,750.0,2.5045066666666664,1.761862092787313,0.17,0.86,2.08,3.79,5.6,0.06433410742885809,0.12609485056056186,0.7034767031114497
Gain100_Distance15,750.0,1.4747999999999999,0.9541237320851896,0.15,0.56,1.37,2.08,3.18,0.034839672714271595,0.06828575851997233,0.6469512693824178
Gain100_Distance20,750.0,1.1846266666666665,0.7708205236381367,0.13,0.46,1.04,1.74,2.88,0.02814638590563677,0.055166916375048065,0.6506864528105649
Gain75_Distance10,750.0,1.136,0.9736050580593612,0.1,0.31,0.74,1.605,3.32,0.035551030160015935,0.06968001911363123,0.8570467060381701
Gain75_Distance15,750.0,0.7808133333333334,0.6261585298427883,0.09,0.27,0.505,1.08,2.08,0.022864076757944458,0.044813590445571136,0.8019311442463264
Gain75_Distance20,750.0,0.5850666666666666,0.4323882611342625,0.09,0.22,0.43,0.82,1.63,0.015788586948244657,0.030945630418559526,0.7390410115102481
Gain90_Distance25,750.0,0.64008,0.4474935316640621,0.09,0.26,0.46,0.95,1.63,0.01634015344200394,0.03202670074632772,0.6991212530684635
Gain90_Distance30,750.0,0.4524666666666667,0.28050197390638104,0.09,0.21,0.37,0.63,1.42,0.010242483902216692,0.020075268448344716,0.6199395327236946
Gain90_Distance35,750.0,0.42958666666666667,0.26345240946255244,0.09,0.18,0.34,0.67,1.01,0.00961992183278183,0.018855046792252386,0.6132695213908387
Gain65_Distance25,750.0,0.383,0.2779640600717812,0.09,0.16,0.27,0.49,1.04,0.010149812391802375,0.019893632287932655,0.7257547260359822
Gain65_Distance30,750.0,0.28884,0.178699839330563,0.09,0.15,0.23,0.37,0.7,0.0065251955349265485,0.012789383248456035,0.6186810667863281
Gain65_Distance35,750.0,0.25939999999999996,0.15250743596307706,0.09,0.12,0.21,0.34,0.63,0.0055687841909501275,0.01091481701426225,0.5879238086471745
